service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
72953,1,1,1,1,1,0,0,20250811,20260109
72954,0,0,0,0,0,1,0,20250816,20260110
72955,0,0,0,0,0,0,1,20250817,20260111
75396,1,1,1,1,1,0,0,20250811,20260109
75397,0,0,0,0,0,1,0,20250816,20260110
75398,0,0,0,0,0,0,1,20250817,20260111
75724,1,1,1,1,1,0,0,20250811,20260109
75725,0,0,0,0,0,1,0,20250816,20260110
75726,0,0,0,0,0,0,1,20250817,20260111
