service_id,date,exception_type
72953,20250901,2
72953,20251127,2
72953,20251225,2
72953,20260101,2
72955,20250901,1
72955,20251127,1
72955,20251225,1
72955,20260101,1
75396,20250901,2
75396,20251127,2
75396,20251225,2
75396,20260101,2
75398,20250901,1
75398,20251127,1
75398,20251225,1
75398,20260101,1
75724,20250901,2
75724,20251127,2
75724,20251225,2
75724,20260101,2
75726,20250901,1
75726,20251127,1
75726,20251225,1
75726,20260101,1
